Stn Code,Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Agency,Type of Location,SO2,NO2,RSPM/PM10,PM 2.5
531,2014-10-10T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,37,134,NA
531,2014-10-15T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,45,115,NA
531,2014-10-20T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,48,230,NA
531,2014-10-22T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",6,82,348,NA
531,2014-10-27T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,44,209,NA
531,2014-10-30T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,41,206,NA
531,2014-05-11T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,38,210,NA
531,2014-11-11T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,39,236,NA
531,2014-11-14T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,40,192,NA
531,2014-11-19T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,36,247,NA
531,2014-11-24T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,39,215,NA
531,2014-11-27T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,37,420,NA
531,2014-03-12T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,39,225,NA
531,2014-08-12T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,40,189,NA
531,2014-11-12T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,39,228,NA
531,2014-12-16T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,36,229,NA
531,2014-12-19T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,34,382,NA
531,2014-12-30T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,31,309,NA
60,2014-02-01T12:46:36Z,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,47,107,NA
60,2014-07-01T12:46:36Z,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,45,198,NA
60,2014-10-01T12:46:36Z,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,57,318,NA
60,2014-01-16T12:46:36Z,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,50,458,NA
60,2014-01-21T12:46:36Z,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,26,142,NA
60,2014-01-24T12:46:36Z,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,37,179,NA
